1,https://www.nytimes.com/2021/08/31/upshot/remote-work.html,2021-08-31T09:00:15+0000,Labor and Jobs
2,https://www.nytimes.com/2021/08/31/technology/facebook-accenture-content-moderation.html,2021-08-31T17:32:16+0000,Accenture Ltd
3,https://www.nytimes.com/2021/08/25/business/economy/federal-reserve-jackson-hole-meeting.html,2021-08-25T07:00:10+0000,Federal Reserve System
4,https://www.nytimes.com/2021/08/24/arts/music/met-opera-orchestra-deal.html,2021-08-24T17:26:23+0000,Opera
5,https://www.nytimes.com/2021/08/23/opinion/workers-wages-recovery.html,2021-08-23T23:00:05+0000,Labor and Jobs
6,https://www.nytimes.com/2021/08/23/upshot/biden-economy-analysis-inflation.html,2021-08-23T09:00:12+0000,United States Economy
7,https://www.nytimes.com/2021/08/10/business/junior-banker-salary.html,2021-08-10T12:24:43+0000,Banking and Financial Institutions
8,https://www.nytimes.com/2021/08/18/business/workers-in-demand-have-a-new-demand-of-their-own-a-career-path.html,2021-08-18T09:00:19+0000,Labor and Jobs
9,https://www.nytimes.com/2021/08/17/opinion/antitrust-big-tech.html,2021-08-17T23:39:57+0000,Antitrust Laws and Competition Issues
10,https://www.nytimes.com/2021/08/16/opinion/minimum-wage-jobs.html,2021-08-16T19:38:46+0000,Labor and Jobs
1,https://www.nytimes.com/2021/08/13/your-money/college-degree-investment-return.html,2021-08-13T13:00:10+0000,Colleges and Universities
2,https://www.nytimes.com/2021/08/12/us/politics/pelosi-house-staff-pay-raise.html,2021-08-12T20:29:52+0000,United States Politics and Government
3,https://www.nytimes.com/2021/08/12/opinion/caretakers-elderly-home-health-aides.html,2021-08-13T00:06:05+0000,Elder Care
4,https://www.nytimes.com/2021/08/10/opinion/restaurants-covid-pandemic.html,2021-08-10T09:00:14+0000,Restaurants
5,https://www.nytimes.com/2021/08/06/podcasts/jobs-report-labor-shortage.html,2021-08-06T17:47:25+0000,United States Economy
6,https://www.nytimes.com/2021/08/06/business/economy/july-2021-jobs-report.html,2021-08-06T08:55:51+0000,Labor and Jobs
7,https://www.nytimes.com/2021/08/04/us/tuna-fish-imports-forced-labor.html,2021-08-04T21:53:41+0000,Labor and Jobs
8,https://www.nytimes.com/2021/08/02/technology/fypm-creators-app-pay.html,2021-08-02T14:53:39+0000,Social Media
9,https://www.nytimes.com/2021/07/24/us/summer-camp-reopen-counselors.html,2021-07-24T19:40:50+0000,Camps and Camping
10,https://www.nytimes.com/2021/07/24/us/frito-lay-union-contract.html,2021-07-24T17:58:51+0000,Frito-Lay Inc
1,https://www.nytimes.com/2021/07/22/us/frito-lay-strike-workers.html,2021-07-22T21:25:05+0000,Frito-Lay Inc
2,https://www.nytimes.com/2021/07/21/business/activision-blizzard-california-lawsuit.html,2021-07-22T02:27:45+0000,Activision Blizzard Inc
3,https://www.nytimes.com/2021/07/21/upshot/economy-usa.html,2021-07-21T09:00:21+0000,United States Economy
4,https://www.nytimes.com/2021/07/20/business/economy/workers-wages-mobility.html,2021-07-20T15:07:17+0000,Labor and Jobs
5,https://www.nytimes.com/2021/07/20/business/remote-work-pay-bonus.html,2021-07-20T09:00:12+0000,Telecommuting
6,https://www.nytimes.com/2021/07/20/opinion/covid-return-to-office.html,2021-07-20T09:00:16+0000,Work-Life Balance
7,https://www.nytimes.com/2021/07/19/dining/labor-union-restaurants.html,2021-07-19T14:42:36+0000,Restaurants
8,https://www.nytimes.com/2021/07/16/nyregion/big-city-waiter-shortage-restaurants.html,2021-07-16T09:00:27+0000,Restaurants
9,https://www.nytimes.com/2021/07/16/nyregion/gig-workers-new-york-pandemic.html,2021-07-16T09:31:12+0000,New York City
10,https://www.nytimes.com/2021/07/16/business/economy/green-energy-jobs-economy.html,2021-07-16T09:00:26+0000,Solar Energy
1,https://www.nytimes.com/2021/07/15/nyregion/nyc-gig-workers-pay.html,2021-07-15T18:21:35+0000,Wages and Salaries
2,https://www.nytimes.com/2021/07/14/nyregion/attacks-continue-city-reopens.html,2021-07-14T09:19:46+0000,New York City
3,https://www.nytimes.com/2021/07/13/arts/music/met-opera-stagehands-musicians.html,2021-07-13T13:00:07+0000,Opera
4,https://www.nytimes.com/2021/07/13/business/economy/consumer-price-index-june-2021.html,2021-07-13T09:00:13+0000,Consumer Price Index
5,https://www.nytimes.com/2021/07/08/business/economy/inflation-redux.html,2021-07-08T16:29:55+0000,United States Economy
6,https://www.nytimes.com/2021/07/07/nyregion/NYC-parade-essential-workers.html,2021-07-07T13:17:47+0000,Wages and Salaries
7,https://www.nytimes.com/2021/07/07/us/politics/biden-noncompete-clauses-workers.html,2021-07-07T12:23:14+0000,United States Politics and Government
8,https://www.nytimes.com/2021/07/01/business/salary-transparency-pay-gap.html,2021-07-01T09:00:11+0000,Wages and Salaries
9,https://www.nytimes.com/2021/07/05/obituaries/tom-reich-dead.html,2021-07-05T20:13:12+0000,Baseball
10,https://www.nytimes.com/2021/07/04/arts/music/metropolitan-opera-local-one-deal.html,2021-07-04T15:59:45+0000,Metropolitan Opera
1,https://www.nytimes.com/2021/07/03/business/economy/automation-workers-robots-pandemic.html,2021-07-03T17:00:11+0000,Labor and Jobs
2,https://www.nytimes.com/2021/07/02/business/economy/jobs-economy-covid.html,2021-07-02T21:02:14+0000,Labor and Jobs
3,https://www.nytimes.com/2021/07/02/business/economy/june-2021-jobs-report.html,2021-07-02T09:06:23+0000,United States Economy
4,https://www.nytimes.com/2021/07/02/business/chris-kempczinski-mcdonalds-corner-office.html,2021-07-02T09:00:29+0000,McDonald's Corporation
5,https://www.nytimes.com/2021/07/01/business/economy/canada-goose-union.html,2021-07-01T17:25:35+0000,Canada Goose Inc
6,https://www.nytimes.com/2021/07/01/business/dealbook/robinhood-fine-ipo.html,2021-07-01T11:19:49+0000,Antitrust Laws and Competition Issues
7,https://www.nytimes.com/2021/06/29/magazine/tennis-players-association.html,2021-06-29T09:00:13+0000,Tennis
8,https://www.nytimes.com/2021/06/28/nyregion/trump-organization-charges.html,2021-06-28T23:08:56+0000,Tax Evasion
9,https://www.nytimes.com/2021/06/28/business/economy/black-workers-racial-pay-gap.html,2021-06-28T07:00:08+0000,Discrimination
10,https://www.nytimes.com/2021/06/28/sports/basketball/overtime-elite-g-league-ignite.html,2021-06-28T04:01:08+0000,Draft and Recruitment (Sports)
1,https://www.nytimes.com/2021/06/27/business/economy/jobs-workers-unemployment-benefits.html,2021-06-27T16:40:32+0000,Missouri
2,https://www.nytimes.com/2021/06/25/business/southwest-minimum-wage-15-dollars.html,2021-06-25T19:58:23+0000,AIRLINES AND AIRPLANES
3,https://www.nytimes.com/2021/06/24/movies/review-sisters-on-track-lfg-soccer-money.html,2021-06-24T11:00:08+0000,Documentary Films and Programs
4,https://www.nytimes.com/2021/06/21/us/supreme-court-ncaa-student-athletes.html,2021-06-21T14:17:34+0000,Student Athlete Compensation
5,https://www.nytimes.com/2021/06/20/business/economy/workers-quit-jobs.html,2021-06-20T09:00:13+0000,Labor and Jobs
6,https://www.nytimes.com/2021/06/17/opinion/covid-economic-boom.html,2021-06-17T23:00:09+0000,United States Economy
7,https://www.nytimes.com/2021/06/16/business/media/conde-nast-new-yorker-union-deal.html,2021-06-16T21:48:56+0000,Strikes
8,https://www.nytimes.com/2021/06/15/opinion/inflation-economy-infrastructure.html,2021-06-15T19:17:28+0000,United States Economy
9,https://www.nytimes.com/2021/06/15/nyregion/uber-prices-rise-yellow-taxis.html,2021-06-15T09:00:28+0000,Taxicabs and Taxicab Drivers
10,https://www.nytimes.com/2021/06/15/us/politics/amazon-warehouse-workers.html,2021-06-15T08:01:04+0000,Amazon.com Inc
1,https://www.nytimes.com/2021/06/13/business/media/new-yorker-union.html,2021-06-14T00:44:08+0000,New Yorker
2,https://www.nytimes.com/2021/06/13/opinion/stimulus-unemployment-republicans-poverty.html,2021-06-13T14:06:36+0000,Labor and Jobs
