Alabama, USA, 32.3182314, -86.902298
Alaska, USA, 64.2008413, -149.4936733
Arizona, USA, 34.0489281, -111.0937311
Arkansas, USA, 35.20105, -91.8318334
California, USA, 36.778261, -119.4179324
Colorado, USA, 39.5500507, -105.7820674
Connecticut, USA, 41.6032207, -73.087749
Delaware, USA, 38.9108325, -75.52766989999999
Washington, DC, USA, 38.9071923, -77.0368707
Florida, USA, 27.6648274, -81.5157535
Georgia, USA, 32.1656221, -82.9000751
Hawaii, USA, 19.8967662, -155.5827818
Idaho, USA, 44.0682019, -114.7420408
Illinois, USA, 40.6331249, -89.3985283
Indiana, USA, 40.2671941, -86.1349019
Iowa, USA, 41.8780025, -93.097702
Kansas, USA, 39.011902, -98.4842465
Kentucky, USA, 37.8393332, -84.2700179
Louisiana, USA, 30.9842977, -91.96233269999999
Maine, USA, 45.253783, -69.4454689
Maryland, USA, 39.0457549, -76.64127119999999
Massachusetts, USA, 42.4072107, -71.3824374
Michigan, USA, 44.3148443, -85.60236429999999
Minnesota, USA, 46.729553, -94.6858998
Mississippi, USA, 32.3546679, -89.3985283
Missouri, USA, 37.9642529, -91.8318334
Montana, USA, 46.8796822, -110.3625658
Nebraska, USA, 41.4925374, -99.9018131
Nevada, USA, 38.8026097, -116.419389
New Hampshire, USA, 43.1938516, -71.5723953
New Jersey, USA, 40.0583238, -74.4056612
New Mexico, USA, 34.5199402, -105.8700901
New York, NY, USA, 40.7127753, -74.0059728
North Carolina, USA, 35.7595731, -79.01929969999999
North Dakota, USA, 47.5514926, -101.0020119
Ohio, USA, 40.4172871, -82.90712300000001
Oklahoma, USA, 35.0077519, -97.092877
Oregon, USA, 43.8041334, -120.5542012
Pennsylvania, USA, 41.2033216, -77.1945247
Rhode Island, USA, 41.5800945, -71.4774291
South Carolina, USA, 33.836081, -81.1637245
South Dakota, USA, 43.9695148, -99.9018131
Tennessee, USA, 35.5174913, -86.5804473
Texas, USA, 31.9685988, -99.9018131
Utah, USA, 39.3209801, -111.0937311
Vermont, USA, 44.5588028, -72.57784149999999
Virginia, USA, 37.4315734, -78.6568942
Washington, USA, 47.7510741, -120.7401385
West Virginia, USA, 38.5976262, -80.4549026
Wisconsin, USA, 43.7844397, -88.7878678
Wyoming, USA, 43.0759678, -107.2902839
